share_code,trade_date,weight
600519.SH,2020-08-31,5.239
601318.SH,2020-08-31,4.844
000858.SZ,2020-08-31,2.718
600036.SH,2020-08-31,2.269
600276.SH,2020-08-31,2.057
000333.SZ,2020-08-31,2.017
600030.SH,2020-08-31,1.581
000651.SZ,2020-08-31,1.531
600887.SH,2020-08-31,1.485
002475.SZ,2020-08-31,1.345
601888.SH,2020-08-31,1.185
601166.SH,2020-08-31,1.175
000002.SZ,2020-08-31,1.083
603288.SH,2020-08-31,1.039
601398.SH,2020-08-31,1.015
600900.SH,2020-08-31,0.991
300059.SZ,2020-08-31,0.984
601012.SH,2020-08-31,0.975
000725.SZ,2020-08-31,0.869
600837.SH,2020-08-31,0.855
000001.SZ,2020-08-31,0.854
600585.SH,2020-08-31,0.853
002415.SZ,2020-08-31,0.816
000661.SZ,2020-08-31,0.773
002714.SZ,2020-08-31,0.768
600031.SH,2020-08-31,0.763
601328.SH,2020-08-31,0.758
601688.SH,2020-08-31,0.735
600000.SH,2020-08-31,0.71
600016.SH,2020-08-31,0.689
600048.SH,2020-08-31,0.673
600309.SH,2020-08-31,0.671
603259.SH,2020-08-31,0.665
002352.SZ,2020-08-31,0.658
300498.SZ,2020-08-31,0.643
000568.SZ,2020-08-31,0.639
601668.SH,2020-08-31,0.629
002142.SZ,2020-08-31,0.622
000063.SZ,2020-08-31,0.614
300015.SZ,2020-08-31,0.611
601899.SH,2020-08-31,0.577
300142.SZ,2020-08-31,0.57
000100.SZ,2020-08-31,0.559
002241.SZ,2020-08-31,0.545
600570.SH,2020-08-31,0.543
601288.SH,2020-08-31,0.538
601211.SH,2020-08-31,0.509
300122.SZ,2020-08-31,0.505
002304.SZ,2020-08-31,0.496
600690.SH,2020-08-31,0.493
601229.SH,2020-08-31,0.489
601601.SH,2020-08-31,0.489
600999.SH,2020-08-31,0.467
000876.SZ,2020-08-31,0.467
002027.SZ,2020-08-31,0.452
002594.SZ,2020-08-31,0.45
600436.SH,2020-08-31,0.443
600009.SH,2020-08-31,0.43
601628.SH,2020-08-31,0.425
601169.SH,2020-08-31,0.421
601766.SH,2020-08-31,0.416
000338.SZ,2020-08-31,0.414
601988.SH,2020-08-31,0.403
600588.SH,2020-08-31,0.397
300601.SZ,2020-08-31,0.389
600196.SH,2020-08-31,0.386
002271.SZ,2020-08-31,0.384
603986.SH,2020-08-31,0.384
600104.SH,2020-08-31,0.382
000895.SZ,2020-08-31,0.369
002007.SZ,2020-08-31,0.368
002410.SZ,2020-08-31,0.368
600438.SH,2020-08-31,0.366
601818.SH,2020-08-31,0.357
600703.SH,2020-08-31,0.355
600919.SH,2020-08-31,0.346
000538.SZ,2020-08-31,0.345
300347.SZ,2020-08-31,0.343
002230.SZ,2020-08-31,0.338
300124.SZ,2020-08-31,0.338
002555.SZ,2020-08-31,0.337
002311.SZ,2020-08-31,0.326
600028.SH,2020-08-31,0.315
601088.SH,2020-08-31,0.311
001979.SZ,2020-08-31,0.309
600547.SH,2020-08-31,0.308
600406.SH,2020-08-31,0.302
600745.SH,2020-08-31,0.301
600809.SH,2020-08-31,0.301
601009.SH,2020-08-31,0.301
000166.SZ,2020-08-31,0.297
300413.SZ,2020-08-31,0.295
601336.SH,2020-08-31,0.291
300003.SZ,2020-08-31,0.282
600050.SH,2020-08-31,0.282
002044.SZ,2020-08-31,0.281
300136.SZ,2020-08-31,0.28
000776.SZ,2020-08-31,0.279
603019.SH,2020-08-31,0.275
000938.SZ,2020-08-31,0.274
002371.SZ,2020-08-31,0.266
601390.SH,2020-08-31,0.266
300433.SZ,2020-08-31,0.265
300014.SZ,2020-08-31,0.263
600346.SH,2020-08-31,0.259
601989.SH,2020-08-31,0.258
000157.SZ,2020-08-31,0.258
600019.SH,2020-08-31,0.257
601857.SH,2020-08-31,0.251
601788.SH,2020-08-31,0.25
002001.SZ,2020-08-31,0.247
