rho,joint_prob,R(rho)
-0.999,0.0,-0.066544
-0.988909,0.0,-0.066544
-0.978818,0.0,-0.066544
-0.968727,0.0,-0.066544
-0.958636,0.0,-0.066544
-0.948545,0.0,-0.066544
-0.938455,0.0,-0.066544
-0.928364,0.0,-0.066544
-0.918273,0.0,-0.066544
-0.908182,0.0,-0.066544
-0.898091,0.0,-0.066544
-0.888,0.0,-0.066544
-0.877909,0.0,-0.066544
-0.867818,0.0,-0.066544
-0.857727,0.0,-0.066544
-0.847636,0.0,-0.066544
-0.837545,0.0,-0.066544
-0.827455,0.0,-0.066544
-0.817364,0.0,-0.066544
-0.807273,0.0,-0.066543
-0.797182,0.0,-0.066543
-0.787091,0.0,-0.066543
-0.777,0.0,-0.066542
-0.766909,0.0,-0.06654
-0.756818,0.0,-0.066538
-0.746727,1e-06,-0.066535
-0.736636,1e-06,-0.06653
-0.726545,1e-06,-0.066524
-0.716455,2e-06,-0.066516
-0.706364,2e-06,-0.066505
-0.696273,3e-06,-0.06649
-0.686182,4e-06,-0.066472
-0.676091,6e-06,-0.066449
-0.666,7e-06,-0.06642
-0.655909,9e-06,-0.066385
-0.645818,1.2e-05,-0.066342
-0.635727,1.5e-05,-0.066292
-0.625636,1.8e-05,-0.066231
-0.615545,2.2e-05,-0.066161
-0.605455,2.7e-05,-0.066079
-0.595364,3.3e-05,-0.065985
-0.585273,3.9e-05,-0.065877
-0.575182,4.6e-05,-0.065754
-0.565091,5.4e-05,-0.065614
-0.555,6.4e-05,-0.065458
-0.544909,7.4e-05,-0.065283
-0.534818,8.5e-05,-0.065088
-0.524727,9.8e-05,-0.064872
-0.514636,0.000112,-0.064634
-0.504545,0.000127,-0.064373
-0.494455,0.000144,-0.064087
-0.484364,0.000162,-0.063775
-0.474273,0.000182,-0.063436
-0.464182,0.000203,-0.063069
-0.454091,0.000226,-0.062673
-0.444,0.000251,-0.062246
-0.433909,0.000278,-0.061787
-0.423818,0.000307,-0.061296
-0.413727,0.000338,-0.060772
-0.403636,0.00037,-0.060212
-0.393545,0.000405,-0.059617
-0.383455,0.000442,-0.058985
-0.373364,0.000481,-0.058315
-0.363273,0.000523,-0.057607
-0.353182,0.000567,-0.056859
-0.343091,0.000613,-0.05607
-0.333,0.000661,-0.05524
-0.322909,0.000712,-0.054368
-0.312818,0.000766,-0.053452
-0.302727,0.000822,-0.052493
-0.292636,0.000881,-0.051489
-0.282545,0.000942,-0.050439
-0.272455,0.001006,-0.049344
-0.262364,0.001073,-0.048201
-0.252273,0.001143,-0.047011
-0.242182,0.001215,-0.045772
-0.232091,0.00129,-0.044485
-0.222,0.001369,-0.043147
-0.211909,0.00145,-0.04176
-0.201818,0.001534,-0.040321
-0.191727,0.001621,-0.038831
-0.181636,0.001711,-0.037289
-0.171545,0.001805,-0.035694
-0.161455,0.001901,-0.034046
-0.151364,0.002001,-0.032344
-0.141273,0.002103,-0.030587
-0.131182,0.002209,-0.028776
-0.121091,0.002319,-0.026909
-0.111,0.002431,-0.024987
-0.100909,0.002547,-0.023007
-0.090818,0.002666,-0.020971
-0.080727,0.002788,-0.018878
-0.070636,0.002914,-0.016726
-0.060545,0.003044,-0.014516
-0.050455,0.003176,-0.012247
-0.040364,0.003313,-0.009918
-0.030273,0.003452,-0.00753
-0.020182,0.003596,-0.005081
-0.010091,0.003742,-0.002571
0.0,0.003893,0.0
0.010091,0.004047,0.002633
0.020182,0.004204,0.005328
0.030273,0.004366,0.008087
0.040364,0.004531,0.010908
0.050455,0.0047,0.013794
0.060545,0.004872,0.016743
0.070636,0.005049,0.019758
0.080727,0.005229,0.022838
0.090818,0.005413,0.025984
0.100909,0.005601,0.029196
0.111,0.005793,0.032476
0.121091,0.005988,0.035823
0.131182,0.006188,0.039238
0.141273,0.006392,0.042722
0.151364,0.0066,0.046275
0.161455,0.006812,0.049898
0.171545,0.007028,0.053592
0.181636,0.007248,0.057357
0.191727,0.007473,0.061194
0.201818,0.007701,0.065103
0.211909,0.007934,0.069086
0.222,0.008172,0.073143
0.232091,0.008413,0.077275
0.242182,0.008659,0.081483
0.252273,0.00891,0.085767
0.262364,0.009165,0.090128
0.272455,0.009425,0.094567
0.282545,0.009689,0.099086
0.292636,0.009958,0.103684
0.302727,0.010232,0.108364
0.312818,0.01051,0.113125
0.322909,0.010794,0.11797
0.333,0.011082,0.122899
0.343091,0.011376,0.127913
0.353182,0.011674,0.133013
0.363273,0.011977,0.138201
0.373364,0.012286,0.143479
0.383455,0.0126,0.148846
0.393545,0.01292,0.154306
0.403636,0.013244,0.159859
0.413727,0.013575,0.165506
0.423818,0.013911,0.171251
0.433909,0.014253,0.177093
0.444,0.0146,0.183035
0.454091,0.014954,0.189079
0.464182,0.015313,0.195227
0.474273,0.015679,0.20148
0.484364,0.016051,0.207842
0.494455,0.01643,0.214313
0.504545,0.016815,0.220898
0.514636,0.017207,0.227597
0.524727,0.017606,0.234414
0.534818,0.018012,0.241352
0.544909,0.018425,0.248413
0.555,0.018845,0.255601
0.565091,0.019273,0.262919
0.575182,0.019709,0.270371
0.585273,0.020153,0.27796
0.595364,0.020605,0.28569
0.605455,0.021066,0.293566
0.615545,0.021536,0.301592
0.625636,0.022014,0.309772
0.635727,0.022502,0.318113
0.645818,0.023,0.326619
0.655909,0.023507,0.335297
0.666,0.024025,0.344153
0.676091,0.024554,0.353193
0.686182,0.025094,0.362426
0.696273,0.025646,0.371858
0.706364,0.02621,0.3815
0.716455,0.026787,0.39136
0.726545,0.027377,0.401448
0.736636,0.027981,0.411777
0.746727,0.0286,0.422358
0.756818,0.029235,0.433205
0.766909,0.029886,0.444334
0.777,0.030554,0.45576
0.787091,0.031241,0.467502
0.797182,0.031948,0.479582
0.807273,0.032676,0.492023
0.817364,0.033426,0.504852
0.827455,0.034201,0.518099
0.837545,0.035003,0.531798
0.847636,0.035833,0.545991
0.857727,0.036695,0.560725
0.867818,0.037591,0.576055
0.877909,0.038527,0.592048
0.888,0.039506,0.608784
0.898091,0.040534,0.626363
0.908182,0.041619,0.644909
0.918273,0.04277,0.664581
0.928364,0.043999,0.685591
0.938455,0.045323,0.708227
0.948545,0.046767,0.732899
0.958636,0.048366,0.760235
0.968727,0.050182,0.791278
0.978818,0.052331,0.828023
0.988909,0.055104,0.875412
0.999,0.060201,0.962547
